ticker,company_name,sector,year,S_stated,A_density,A_explicit,A_dei_qual,A_targets,A_actual,S_pct,A_pct,gap,authenticity,alignment_category
AMZN,Amazon.com Inc.,Consumer Discretionary,2016,0.0,0.7226666666666667,1,0.0,0,0.43066666666666664,22.5,87.5,65.0,35.0,STEALTH (under-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2017,0.0,0.07033333333333333,1,0.0,0,0.26758333333333334,23.076923076923077,53.84615384615385,30.76923076923077,69.23076923076923,STEALTH (under-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2018,0.6666666666666666,0.071,1,0.0,0,0.26775,87.77777777777777,35.55555555555556,-52.222222222222214,47.777777777777786,GREENWASH-RISK (over-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2019,0.6666666666666666,0.24366666666666664,1,0.0,0,0.3109166666666667,85.55555555555556,64.44444444444444,-21.111111111111114,78.88888888888889,GREENWASH-RISK (over-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2020,0.6666666666666666,0.4166666666666667,1,0.5,1,0.7291666666666667,82.6086956521739,100.0,17.391304347826093,82.6086956521739,STEALTH (under-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2021,0.0,0.6956666666666667,1,1.0,1,0.9239166666666667,23.863636363636363,100.0,76.13636363636364,23.86363636363636,STEALTH (under-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2022,0.6666666666666666,0.24833333333333335,1,0.5,1,0.6870833333333333,75.0,95.65217391304348,20.652173913043484,79.34782608695652,STEALTH (under-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2023,1.0,0.19499999999999998,1,0.5,0,0.42375,95.55555555555556,62.22222222222222,-33.333333333333336,66.66666666666666,GREENWASH-RISK (over-claim)
AMZN,Amazon.com Inc.,Consumer Discretionary,2024,0.0,0.08533333333333333,1,0.0,0,0.2713333333333333,18.6046511627907,23.25581395348837,4.651162790697672,95.34883720930233,ALIGNED
BKNG,Booking Holdings Inc.,Consumer Discretionary,2018,0.0,1.0,1,0.0,0,0.5,26.666666666666668,95.55555555555556,68.88888888888889,31.111111111111114,STEALTH (under-claim)
BKNG,Booking Holdings Inc.,Consumer Discretionary,2019,0.0,0.025666666666666667,1,0.5,0,0.3814166666666667,23.333333333333332,71.11111111111111,47.777777777777786,52.222222222222214,STEALTH (under-claim)
BKNG,Booking Holdings Inc.,Consumer Discretionary,2020,0.3333333333333333,0.5846666666666667,1,0.0,0,0.39616666666666667,56.52173913043478,63.04347826086957,6.5217391304347885,93.47826086956522,ALIGNED
BKNG,Booking Holdings Inc.,Consumer Discretionary,2021,0.6666666666666666,0.606,1,0.0,0,0.40149999999999997,84.0909090909091,52.27272727272727,-31.81818181818182,68.18181818181819,GREENWASH-RISK (over-claim)
